Item,Response,Participant,Group,Dimension
1,5,1,USA,Care
2,1,2,USA,Equality
3,4,3,USA,Proportionality
4,3,4,USA,Loyalty
5,2,5,USA,Authority
6,2,6,USA,Purity
7,5,7,USA,Care
8,1,8,USA,Equality
9,4,9,USA,Proportionality
10,4,10,USA,Loyalty
11,2,11,USA,Authority
12,5,12,USA,Purity
13,3,13,USA,Care
14,2,14,USA,Equality
15,5,15,USA,Proportionality
16,2,16,USA,Loyalty
17,3,17,USA,Authority
18,1,18,USA,Purity
19,5,19,USA,Care
20,1,20,USA,Equality
21,4,21,USA,Proportionality
22,2,22,USA,Loyalty
23,2,23,USA,Authority
24,1,24,USA,Purity
25,3,25,USA,Care
26,1,26,USA,Equality
27,4,27,USA,Proportionality
28,2,28,USA,Loyalty
29,2,29,USA,Authority
30,2,30,USA,Purity
31,4,31,USA,Care
32,4,32,USA,Equality
33,3,33,USA,Proportionality
34,4,34,USA,Loyalty
35,1,35,USA,Authority
36,1,36,USA,Purity
1,4,37,USA,Care
2,1,38,USA,Equality
3,4,39,USA,Proportionality
4,5,40,USA,Loyalty
5,5,41,USA,Authority
6,3,42,USA,Purity
7,3,43,USA,Care
8,1,44,USA,Equality
9,3,45,USA,Proportionality
10,4,46,USA,Loyalty
11,4,47,USA,Authority
12,5,48,USA,Purity
13,4,49,USA,Care
14,3,50,USA,Equality
15,4,51,USA,Proportionality
16,4,52,USA,Loyalty
17,3,53,USA,Authority
18,5,54,USA,Purity
19,3,55,USA,Care
20,1,56,USA,Equality
21,4,57,USA,Proportionality
22,3,58,USA,Loyalty
23,4,59,USA,Authority
24,5,60,USA,Purity
25,4,61,USA,Care
26,2,62,USA,Equality
27,3,63,USA,Proportionality
28,5,64,USA,Loyalty
29,3,65,USA,Authority
30,2,66,USA,Purity
31,4,67,USA,Care
32,1,68,USA,Equality
33,4,69,USA,Proportionality
34,3,70,USA,Loyalty
35,4,71,USA,Authority
36,5,72,USA,Purity
1,2,73,USA,Care
2,1,74,USA,Equality
3,4,75,USA,Proportionality
4,4,76,USA,Loyalty
5,5,77,USA,Authority
6,2,78,USA,Purity
7,5,79,USA,Care
8,4,80,USA,Equality
9,4,81,USA,Proportionality
10,5,82,USA,Loyalty
11,5,83,USA,Authority
12,1,84,USA,Purity
13,2,85,USA,Care
14,2,86,USA,Equality
15,3,87,USA,Proportionality
16,4,88,USA,Loyalty
17,5,89,USA,Authority
18,4,90,USA,Purity
19,2,91,USA,Care
20,1,92,USA,Equality
21,4,93,USA,Proportionality
22,5,94,USA,Loyalty
23,5,95,USA,Authority
24,1,96,USA,Purity
25,3,97,USA,Care
26,3,98,USA,Equality
27,4,99,USA,Proportionality
28,5,100,USA,Loyalty
29,4,101,USA,Authority
30,1,102,USA,Purity
31,3,103,USA,Care
32,4,104,USA,Equality
33,5,105,USA,Proportionality
34,5,106,USA,Loyalty
35,4,107,USA,Authority
36,1,108,USA,Purity
1,5,109,USA,Care
2,1,110,USA,Equality
3,4,111,USA,Proportionality
4,5,112,USA,Loyalty
5,4,113,USA,Authority
6,5,114,USA,Purity
7,4,115,USA,Care
8,3,116,USA,Equality
9,5,117,USA,Proportionality
10,5,118,USA,Loyalty
11,4,119,USA,Authority
12,5,120,USA,Purity
13,5,121,USA,Care
14,3,122,USA,Equality
15,5,123,USA,Proportionality
16,5,124,USA,Loyalty
17,5,125,USA,Authority
18,4,126,USA,Purity
19,5,127,USA,Care
20,1,128,USA,Equality
21,4,129,USA,Proportionality
22,5,130,USA,Loyalty
23,5,131,USA,Authority
24,1,132,USA,Purity
25,3,133,USA,Care
26,4,134,USA,Equality
27,4,135,USA,Proportionality
28,5,136,USA,Loyalty
29,4,137,USA,Authority
30,3,138,USA,Purity
31,5,139,USA,Care
32,4,140,USA,Equality
33,5,141,USA,Proportionality
34,5,142,USA,Loyalty
35,5,143,USA,Authority
36,5,144,USA,Purity
1,4,145,USA,Care
2,4,146,USA,Equality
3,4,147,USA,Proportionality
4,3,148,USA,Loyalty
5,4,149,USA,Authority
6,3,150,USA,Purity
7,3,151,USA,Care
8,3,152,USA,Equality
9,4,153,USA,Proportionality
10,4,154,USA,Loyalty
11,3,155,USA,Authority
12,4,156,USA,Purity
13,3,157,USA,Care
14,4,158,USA,Equality
15,4,159,USA,Proportionality
16,4,160,USA,Loyalty
17,4,161,USA,Authority
18,5,162,USA,Purity
19,4,163,USA,Care
20,3,164,USA,Equality
21,4,165,USA,Proportionality
22,3,166,USA,Loyalty
23,4,167,USA,Authority
24,3,168,USA,Purity
25,4,169,USA,Care
26,2,170,USA,Equality
27,4,171,USA,Proportionality
28,3,172,USA,Loyalty
29,5,173,USA,Authority
30,5,174,USA,Purity
31,4,175,USA,Care
32,3,176,USA,Equality
33,4,177,USA,Proportionality
34,4,178,USA,Loyalty
35,2,179,USA,Authority
36,3,180,USA,Purity
1,3,181,USA,Care
2,1,182,USA,Equality
3,5,183,USA,Proportionality
4,5,184,USA,Loyalty
5,4,185,USA,Authority
6,4,186,USA,Purity
7,3,187,USA,Care
8,1,188,USA,Equality
9,5,189,USA,Proportionality
10,5,190,USA,Loyalty
11,3,191,USA,Authority
12,4,192,USA,Purity
13,3,193,USA,Care
14,1,194,USA,Equality
15,4,195,USA,Proportionality
16,5,196,USA,Loyalty
17,1,197,USA,Authority
