survey,LLM,language,persona,item,iteration,response,model_fullname,date,model_nation,API,temperature,llm_response,valid_response,prop_na,valid_item,valid_llm
mfq,yi-34b-chat,Chinese,none,1,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,3.95,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,2,0,3,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,2.85,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,3,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,4,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,5,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,6,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,3.95,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,7,0,4,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4.2,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,8,0,3,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,2.95,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,9,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,10,0,4,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,3.85,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,11,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,12,0,4:对我的描述相当贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,3.95,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,13,0,5:对我的描述极其贴切,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,4.75,TRUE,0,36,216
mfq,yi-34b-chat,Chinese,none,14,0,3,accounts/fireworks/models/yi-34b-chat,2025-06-29,China,fireworks,0.3,3.3,TRUE,0,36,216
