survey,LLM,language,persona,item,iteration,response,model_fullname,date,model_nation,API,temperature,llm_response,valid_response,prop_na,valid_item,valid_llm
wvs,glm-4-plus,Chinese,none,177,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.75,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,178,0,3,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.8,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,179,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,180,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,181,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,182,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,6.5,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,184,0,5,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.615384615384615,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,185,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,5.764705882352941,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,187,0,3,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.5714285714285716,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,188,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,6.333333333333333,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,189,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,190,0,3,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.7,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,191,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,192,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,193,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.7777777777777777,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,194,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.35,TRUE,0,19,114
wvs,glm-4-plus,Chinese,none,195,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.9375,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,177,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.15,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,178,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.35,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,179,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,180,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.65,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,181,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,182,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,5,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,183,0,3,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.55,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,185,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,5.65,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,187,0,"3

（注：此答案仅为示例",glm-4-plus,2025-06-29,China,bigmodel,0.95,2.2,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,188,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.555555555555555,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,189,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,190,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.3,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,191,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,192,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,193,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.4,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,194,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,China,195,0,5,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.875,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,177,0,3,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.6,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,178,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.9,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,179,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,180,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,181,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.05,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,182,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,7,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,183,0,5,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.6666666666666665,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,185,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,6.85,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,186,0,6,glm-4-plus,2025-06-29,China,bigmodel,0.95,6.388888888888889,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,188,0,7,glm-4-plus,2025-06-29,China,bigmodel,0.95,6.35,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,189,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,190,0,3,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.55,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,191,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,192,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,193,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.65,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,194,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.7,TRUE,0,19,114
wvs,glm-4-plus,Chinese,USA,195,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.25,TRUE,0,19,114
wvs,glm-4-plus,English,none,177,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.7,TRUE,0,19,114
wvs,glm-4-plus,English,none,178,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.2,TRUE,0,19,114
wvs,glm-4-plus,English,none,179,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.9,TRUE,0,19,114
wvs,glm-4-plus,English,none,180,0,2,glm-4-plus,2025-06-29,China,bigmodel,0.95,2.55,TRUE,0,19,114
wvs,glm-4-plus,English,none,181,0,1,glm-4-plus,2025-06-29,China,bigmodel,0.95,1.4,TRUE,0,19,114
wvs,glm-4-plus,English,none,182,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.2631578947368425,TRUE,0,19,114
wvs,glm-4-plus,English,none,183,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,3.65,TRUE,0,19,114
wvs,glm-4-plus,English,none,184,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.529411764705882,TRUE,0,19,114
wvs,glm-4-plus,English,none,185,0,5,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.85,TRUE,0,19,114
wvs,glm-4-plus,English,none,186,0,4,glm-4-plus,2025-06-29,China,bigmodel,0.95,4.2,TRUE,0,19,114
